n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.737962, 2.20407, 0.268556, 1.16687
15, 0.692075, 2.12893, 0.322439, 1.46564
20, 0.586791, 1.81571, 0.30888, 1.38103
25, 0.569833, 1.7377, 0.322112, 1.34258
30, 0.535333, 1.53775, 0.31656, 1.18071
35, 0.55707, 1.55963, 0.353224, 1.25132
40, 0.498615, 1.54833, 0.344752, 1.16863
45, 0.512266, 1.47575, 0.360734, 1.10428
50, 0.514664, 1.33534, 0.402007, 1.01759
55, 0.520543, 1.43123, 0.43738, 1.10142
60, 0.51988, 1.3935, 0.46627, 1.06219
65, 0.484083, 1.3458, 0.457913, 1.10552
70, 0.501154, 1.36733, 0.508524, 1.0914
75, 0.495718, 1.42709, 0.504981, 1.25026
80, 0.488771, 1.38433, 0.525115, 1.11712
85, 0.489208, 1.34897, 0.515404, 1.15314
90, 0.476634, 1.29569, 0.507406, 1.1541
95, 0.46827, 1.30133, 0.503243, 1.14956
100, 0.479719, 1.30796, 0.495612, 1.21501
