n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.78711, 4.75654, 6.10431, 3.78337
15, 7.09974, 5.08355, 6.49795, 4.49939
20, 6.98527, 4.95537, 6.51806, 4.50423
25, 7.0325, 5.02845, 6.63144, 4.60666
30, 6.8724, 4.74233, 6.49585, 4.42028
35, 6.79901, 5.01752, 6.47685, 4.6347
40, 6.67441, 4.85479, 6.39371, 4.44935
45, 6.81274, 4.91583, 6.59682, 4.54872
50, 6.84388, 4.95758, 6.69327, 4.62202
55, 6.88037, 5.07381, 6.73565, 4.78207
60, 6.74352, 4.98991, 6.69698, 4.60143
65, 7.0289, 4.99731, 7.02687, 4.8276
70, 6.82679, 5.01011, 6.87119, 4.87394
75, 6.84657, 5.01012, 6.90736, 4.75514
80, 6.7688, 4.98431, 6.88647, 4.98792
85, 6.80891, 5.0185, 6.90832, 4.94273
90, 6.85449, 5.01291, 6.93338, 5.18247
95, 6.93309, 5.03344, 7.02479, 5.1695
100, 6.7553, 5.04569, 6.8606, 5.13307
