n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.75317, 2.77583, 1.34012, 1.5986
15, 2.87942, 2.89927, 1.64023, 2.1853
20, 2.61987, 2.51609, 1.59546, 1.96861
25, 2.61111, 2.5851, 1.78742, 2.07955
30, 2.44315, 2.27292, 1.68988, 1.89371
35, 2.53764, 2.41926, 1.85401, 1.97037
40, 2.42914, 2.35531, 1.82455, 1.88236
45, 2.43298, 2.32246, 1.97397, 1.90217
50, 2.49122, 2.29315, 2.22709, 1.91902
55, 2.56564, 2.4615, 2.31298, 2.12278
60, 2.42869, 2.45866, 2.37626, 2.01491
65, 2.46355, 2.35208, 2.47102, 2.18073
70, 2.49799, 2.43476, 2.6356, 2.28403
75, 2.52256, 2.46563, 2.63729, 2.1724
80, 2.48102, 2.47962, 2.74303, 2.48152
85, 2.47847, 2.47793, 2.6824, 2.39674
90, 2.5265, 2.46178, 2.72318, 2.66351
95, 2.58079, 2.47358, 2.75822, 2.64445
100, 2.51605, 2.49567, 2.74404, 2.59964
