n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.417082, 1.39383, 0.337435, 1.47638
15, 0.440495, 1.53349, 0.369882, 1.79021
20, 0.379694, 1.3252, 0.354177, 1.51607
25, 0.405473, 1.41953, 0.3804, 1.55215
30, 0.387305, 1.1942, 0.365345, 1.41211
35, 0.422635, 1.27115, 0.409691, 1.44706
40, 0.401032, 1.18749, 0.405424, 1.44676
45, 0.413678, 1.17788, 0.404539, 1.42088
50, 0.471154, 1.14305, 0.469599, 1.39492
55, 0.498214, 1.23696, 0.518425, 1.5698
60, 0.519626, 1.23338, 0.560987, 1.53013
65, 0.532152, 1.17833, 0.573443, 1.61623
70, 0.598454, 1.30063, 0.646337, 1.7113
75, 0.575585, 1.30848, 0.629964, 1.60556
80, 0.607175, 1.31856, 0.663697, 1.87545
85, 0.574562, 1.32838, 0.641055, 1.789
90, 0.586381, 1.37214, 0.637752, 1.89268
95, 0.603069, 1.38217, 0.649374, 1.97965
100, 0.601713, 1.46637, 0.647841, 1.99542
