n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.355476, 1.38586, 0.268556, 1.16687
15, 0.369224, 1.4636, 0.322439, 1.46564
20, 0.341341, 1.30121, 0.30888, 1.38103
25, 0.344638, 1.2869, 0.322112, 1.34258
30, 0.319953, 1.09544, 0.31656, 1.18071
35, 0.357219, 1.15695, 0.353224, 1.25132
40, 0.309266, 1.06748, 0.344752, 1.16863
45, 0.347115, 1.04771, 0.360734, 1.10428
50, 0.375411, 0.943937, 0.402007, 1.01759
55, 0.407544, 1.01546, 0.43738, 1.10142
60, 0.443102, 0.98095, 0.46627, 1.06219
65, 0.448683, 0.975981, 0.457913, 1.10552
70, 0.488604, 0.995823, 0.508524, 1.0914
75, 0.485154, 1.04107, 0.504981, 1.25026
80, 0.479348, 1.00504, 0.525115, 1.11712
85, 0.48055, 1.03385, 0.515404, 1.15314
90, 0.46928, 1.0134, 0.507406, 1.1541
95, 0.46144, 1.006, 0.503243, 1.14956
100, 0.473484, 1.05003, 0.495612, 1.21501
