n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.244427, 1.10175, 0.126229, 0.482357
15, 0.215627, 0.939188, 0.139646, 0.555225
20, 0.259823, 0.915176, 0.183483, 0.555192
25, 0.271818, 0.877868, 0.196069, 0.591964
30, 0.264197, 0.921156, 0.193171, 0.638714
35, 0.307981, 0.891185, 0.249256, 0.619644
40, 0.290175, 0.957846, 0.237598, 0.682685
45, 0.3515, 0.932513, 0.276481, 0.720529
50, 0.357863, 0.980781, 0.30853, 0.792671
55, 0.420076, 1.02525, 0.377046, 0.820689
60, 0.440418, 1.00141, 0.409047, 0.825039
65, 0.466656, 0.952945, 0.420943, 0.779349
70, 0.501169, 1.07502, 0.480433, 0.952229
75, 0.479212, 1.10057, 0.464906, 0.990781
80, 0.504921, 1.07749, 0.468821, 0.926809
85, 0.535137, 1.16126, 0.496407, 0.990813
90, 0.552914, 1.12644, 0.544635, 1.07718
95, 0.531255, 1.12577, 0.523725, 1.0619
100, 0.575227, 1.20664, 0.521918, 1.18991
