n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.14101, 3.89288, 6.12508, 3.98371
15, 6.494, 4.33045, 6.50885, 4.61787
20, 6.49507, 4.36853, 6.51551, 4.59211
25, 6.58399, 4.49571, 6.62402, 4.66201
30, 6.45237, 4.2073, 6.4782, 4.47397
35, 6.40088, 4.48533, 6.44909, 4.70297
40, 6.31613, 4.2725, 6.38592, 4.56033
45, 6.50236, 4.36084, 6.54074, 4.65833
50, 6.57452, 4.42738, 6.65266, 4.72013
55, 6.65694, 4.51223, 6.73217, 4.91149
60, 6.59544, 4.4364, 6.72278, 4.77906
65, 6.95898, 4.48004, 7.07853, 5.00985
70, 6.80034, 4.5325, 6.94419, 5.03447
75, 6.8241, 4.52976, 6.97296, 4.90409
80, 6.74851, 4.52948, 6.92985, 5.20063
85, 6.79069, 4.58534, 6.95643, 5.16078
90, 6.83778, 4.64885, 6.99074, 5.27673
95, 6.91772, 4.67722, 7.08577, 5.40338
100, 6.74177, 4.73365, 6.90555, 5.37461
