n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.14101, 3.89288, 6.10431, 3.78337
15, 6.494, 4.33045, 6.49795, 4.49939
20, 6.49507, 4.36853, 6.51806, 4.50423
25, 6.58399, 4.49571, 6.63144, 4.60666
30, 6.45237, 4.2073, 6.49585, 4.42028
35, 6.40088, 4.48533, 6.47685, 4.6347
40, 6.31613, 4.2725, 6.39371, 4.44935
45, 6.50236, 4.36084, 6.59682, 4.54872
50, 6.57452, 4.42738, 6.69327, 4.62202
55, 6.65694, 4.51223, 6.73565, 4.78207
60, 6.59544, 4.4364, 6.69698, 4.60143
65, 6.95898, 4.48004, 7.02687, 4.8276
70, 6.80034, 4.5325, 6.87119, 4.87394
75, 6.8241, 4.52976, 6.90736, 4.75514
80, 6.74851, 4.52948, 6.88647, 4.98792
85, 6.79069, 4.58534, 6.90832, 4.94273
90, 6.83778, 4.64885, 6.93338, 5.18247
95, 6.91772, 4.67722, 7.02479, 5.1695
100, 6.74177, 4.73365, 6.8606, 5.13307
