n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.37093, 1.64415, 1.27417, 1.80576
15, 1.66186, 1.94812, 1.56285, 2.30576
20, 1.52166, 1.78333, 1.48871, 2.05699
25, 1.62543, 1.9355, 1.65681, 2.13941
30, 1.52601, 1.63485, 1.52581, 1.94388
35, 1.66847, 1.77502, 1.70679, 2.03852
40, 1.61296, 1.6566, 1.71508, 2.00756
45, 1.74524, 1.67825, 1.78331, 2.01984
50, 1.90993, 1.6716, 2.05452, 2.02242
55, 2.08965, 1.78381, 2.2161, 2.26804
60, 2.11227, 1.79745, 2.3267, 2.20361
65, 2.30877, 1.74343, 2.52899, 2.38018
70, 2.44096, 1.87422, 2.72627, 2.46112
75, 2.47236, 1.90032, 2.72604, 2.33047
80, 2.43669, 1.93881, 2.79813, 2.72674
85, 2.43847, 1.96613, 2.75194, 2.6468
90, 2.49013, 2.02111, 2.79258, 2.77798
95, 2.54761, 2.03871, 2.84343, 2.90042
100, 2.48566, 2.1152, 2.8075, 2.89051
