n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.7877, 4.78929, 1.37961, 4.84977
15, 2.0558, 5.59465, 1.50204, 6.36866
20, 2.01974, 4.91465, 1.67503, 5.34478
25, 2.26443, 5.78603, 1.907, 5.75364
30, 2.38512, 4.77855, 1.99457, 5.29848
35, 2.67395, 5.2108, 2.27657, 5.46672
40, 2.44041, 4.6447, 2.09857, 5.62618
45, 2.65359, 4.91018, 2.13026, 5.52147
50, 3.0976, 4.78443, 2.40479, 5.71997
55, 3.07388, 5.48736, 2.95453, 6.82835
60, 3.32977, 5.46166, 3.05794, 6.54149
65, 3.32647, 5.50866, 2.98379, 7.08248
70, 3.72322, 6.05546, 3.38074, 7.38321
75, 3.39993, 6.32996, 3.16053, 6.80403
80, 3.90264, 6.4983, 3.32445, 8.22529
85, 3.46916, 6.32731, 3.17837, 7.68981
90, 3.6139, 6.91052, 3.41717, 8.43411
95, 3.62512, 6.86353, 3.40025, 8.93311
100, 3.60549, 7.47919, 3.29995, 8.98806
