n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.50996, 5.04728, 0.663413, 2.30548
15, 1.67912, 5.70261, 0.816612, 3.40733
20, 1.86336, 5.01045, 0.860433, 3.05648
25, 2.02368, 5.97797, 0.977183, 3.35465
30, 2.0356, 4.74627, 1.04179, 3.26097
35, 2.2331, 5.35159, 1.34907, 3.45474
40, 1.81823, 5.06801, 1.33373, 3.45845
45, 2.13126, 5.0547, 1.54733, 3.45286
50, 2.39154, 5.03333, 1.93677, 3.47674
55, 2.433, 5.65798, 2.21042, 4.06788
60, 2.55318, 5.67424, 2.40906, 3.65815
65, 2.65099, 5.76589, 2.58814, 3.92603
70, 2.72056, 6.3698, 2.84316, 4.43883
75, 2.63367, 6.61532, 2.75977, 4.09032
80, 2.98319, 6.91284, 2.96437, 4.68872
85, 2.69693, 6.70782, 2.89162, 4.68079
90, 2.86818, 7.37789, 3.01666, 5.0485
95, 2.70332, 7.39067, 2.99633, 4.93962
100, 2.81024, 7.8972, 2.88638, 5.16542
