n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 11.0813, 7.04464, 11.2541, 6.89151
15, 11.57, 8.11758, 11.7019, 8.19101
20, 11.5504, 8.24337, 11.7271, 8.03404
25, 11.7101, 8.71469, 11.913, 8.46172
30, 11.5409, 8.23155, 11.6915, 7.98346
35, 11.4827, 8.77136, 11.6858, 8.39759
40, 11.2433, 8.58027, 11.5009, 8.18171
45, 11.5067, 8.69508, 11.722, 8.28345
50, 11.7632, 8.57157, 12.0008, 8.25424
55, 11.8909, 9.1414, 12.0519, 8.68666
60, 11.5782, 9.00016, 11.7404, 8.37508
65, 12.257, 9.10653, 12.1779, 8.72597
70, 12.1825, 9.26844, 12.0838, 8.87848
75, 12.123, 9.45752, 12.0534, 8.60862
80, 11.9032, 9.51941, 11.9605, 8.88292
85, 12.2526, 9.6655, 12.1918, 9.0154
90, 12.1411, 9.73274, 12.1906, 9.1131
95, 12.1126, 9.98482, 12.1513, 9.29972
100, 11.9879, 10.0412, 12.0665, 9.35687
