n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 3.89687, 4.98195, 3.64951, 5.2213
15, 4.76902, 6.2845, 4.55971, 7.00416
20, 4.76666, 5.98953, 4.29385, 6.32523
25, 5.1108, 6.70379, 4.75321, 6.96463
30, 4.96435, 5.8281, 4.50671, 6.37344
35, 5.35092, 6.5259, 4.92621, 6.70895
40, 5.30758, 6.01415, 4.97766, 6.7204
45, 5.86867, 6.16723, 5.17651, 6.79754
50, 6.23397, 6.17415, 5.7744, 6.75311
55, 6.69554, 7.04158, 6.17439, 8.24593
60, 6.69596, 6.86135, 6.07782, 7.4185
65, 7.08931, 6.82952, 6.43391, 8.15841
70, 7.28805, 7.37917, 6.70142, 8.47889
75, 7.68789, 7.66787, 6.88467, 8.06918
80, 7.55296, 7.97277, 6.88646, 8.965
85, 7.50385, 7.99578, 6.76253, 8.81875
90, 7.56192, 8.14981, 6.93295, 9.5104
95, 7.79281, 8.36452, 6.97673, 9.71334
100, 7.3667, 8.50478, 6.83454, 9.95267
