n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 3.89687, 4.98195, 4.09032, 3.66282
15, 4.76902, 6.2845, 4.76512, 5.59615
20, 4.76666, 5.98953, 4.65105, 5.0589
25, 5.1108, 6.70379, 5.11116, 5.61068
30, 4.96435, 5.8281, 4.81233, 5.23536
35, 5.35092, 6.5259, 5.35716, 5.70257
40, 5.30758, 6.01415, 5.28914, 5.48347
45, 5.86867, 6.16723, 5.53209, 5.57143
50, 6.23397, 6.17415, 6.18336, 5.58189
55, 6.69554, 7.04158, 6.34281, 6.41287
60, 6.69596, 6.86135, 6.09657, 5.84079
65, 7.08931, 6.82952, 6.2999, 6.34289
70, 7.28805, 7.37917, 6.5603, 6.76405
75, 7.68789, 7.66787, 6.72599, 6.34886
80, 7.55296, 7.97277, 6.7804, 7.00555
85, 7.50385, 7.99578, 6.65593, 7.14979
90, 7.56192, 8.14981, 6.73637, 7.46704
95, 7.79281, 8.36452, 6.83999, 7.5823
100, 7.3667, 8.50478, 6.8113, 7.72278
