n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.47154, 7.35913, 0.631087, 2.1643
15, 2.5817, 7.70257, 0.819703, 3.11892
20, 2.43268, 6.98587, 0.831274, 3.13593
25, 2.54899, 7.98001, 0.92738, 3.1469
30, 2.43879, 6.35779, 0.958106, 2.92104
35, 2.73437, 6.6036, 1.19853, 3.06848
40, 2.31847, 6.92929, 1.23513, 2.89187
45, 2.39427, 6.94511, 1.30576, 2.93124
50, 2.48441, 5.78714, 1.6159, 2.68016
55, 2.6442, 6.49903, 1.93263, 2.94146
60, 2.63439, 6.04457, 2.0929, 2.72578
65, 2.46855, 6.12893, 2.22666, 2.9288
70, 2.42709, 6.3248, 2.49426, 2.92218
75, 2.62967, 6.55931, 2.57357, 3.41119
80, 2.45961, 6.4473, 2.57216, 2.97667
85, 2.70943, 6.41604, 2.67569, 3.25719
90, 2.31861, 6.43953, 2.54565, 3.24069
95, 2.4074, 6.09606, 2.5409, 3.29068
100, 2.43948, 6.40251, 2.41224, 3.67754
