n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 11.8396, 9.65595, 11.2525, 6.85571
15, 12.4384, 10.2232, 11.7505, 8.0193
20, 12.1508, 10.2236, 11.679, 8.1026
25, 12.2272, 10.4505, 11.797, 8.19798
30, 11.9763, 9.647, 11.6799, 7.71785
35, 11.8627, 10.1382, 11.5513, 8.11147
40, 11.5193, 9.72003, 11.3064, 7.75457
45, 11.7758, 9.85035, 11.5851, 7.84125
50, 11.9381, 9.4836, 11.745, 7.66801
55, 11.9178, 9.96865, 11.8553, 7.87384
60, 11.7028, 9.6044, 11.6506, 7.72497
65, 12.068, 9.64526, 11.8821, 8.03593
70, 11.7732, 9.56144, 11.6165, 7.79321
75, 11.8366, 9.66605, 11.7414, 8.02836
80, 11.7104, 9.47974, 11.5564, 7.71305
85, 11.9677, 9.55336, 11.9119, 7.94482
90, 11.7502, 9.46872, 11.6984, 8.00242
95, 11.7524, 9.34891, 11.7237, 7.97796
100, 11.6823, 9.4278, 11.6492, 7.93334
