n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 7.10351, 8.15032, 3.90542, 3.46599
15, 7.67451, 9.11989, 4.8063, 5.15863
20, 7.41572, 8.91627, 4.45337, 5.11279
25, 7.50154, 9.15479, 4.72323, 5.21839
30, 6.85066, 7.88841, 4.62273, 4.647
35, 7.13468, 8.62907, 4.9876, 5.09458
40, 6.29829, 8.1943, 4.5843, 4.61266
45, 6.69319, 8.18923, 5.05357, 4.68834
50, 6.88615, 7.42516, 5.35342, 4.39221
55, 6.74485, 8.46988, 5.52598, 4.79872
60, 6.74776, 7.88186, 5.44028, 4.45262
65, 6.71234, 7.82006, 5.42298, 4.80339
70, 6.70195, 7.94093, 5.5189, 4.60722
75, 6.63812, 7.85594, 5.6106, 5.23575
80, 6.74855, 7.56423, 5.58976, 4.60619
85, 6.46836, 7.80899, 5.58614, 4.92269
90, 6.59044, 7.68916, 5.43141, 5.05693
95, 6.65872, 7.6881, 5.52003, 5.07564
100, 6.59132, 7.7482, 5.59153, 5.13369
