n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.34677, 4.7122, 5.62025, 3.7238
15, 6.67245, 4.96883, 6.03642, 4.31752
20, 6.51843, 4.93654, 6.04278, 4.47196
25, 6.5338, 4.8772, 6.12279, 4.45117
30, 6.36371, 4.63678, 6.00453, 4.2193
35, 6.30488, 4.84963, 5.97273, 4.47717
40, 6.10812, 4.70411, 5.85873, 4.2444
45, 6.31047, 4.73339, 6.0771, 4.27325
50, 6.28977, 4.68848, 6.12299, 4.26302
55, 6.3089, 4.7736, 6.1543, 4.35251
60, 6.21602, 4.64131, 6.15484, 4.21969
65, 6.46752, 4.69221, 6.39014, 4.37461
70, 6.25079, 4.63614, 6.20318, 4.27286
75, 6.26172, 4.68228, 6.25076, 4.45611
80, 6.15435, 4.60653, 6.17445, 4.26916
85, 6.20353, 4.61188, 6.22287, 4.34541
90, 6.22103, 4.5462, 6.22698, 4.36735
95, 6.27734, 4.55557, 6.31046, 4.36581
100, 6.12489, 4.54782, 6.16944, 4.41436
