n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.81349, 2.79801, 1.36087, 1.5986
15, 2.92122, 2.9212, 1.66011, 2.1853
20, 2.65372, 2.54178, 1.63053, 1.96861
25, 2.649, 2.62487, 1.84465, 2.07955
30, 2.48508, 2.3023, 1.74642, 1.89371
35, 2.57533, 2.45052, 1.92403, 1.97037
40, 2.46372, 2.38575, 1.88203, 1.88236
45, 2.47221, 2.35056, 1.97756, 1.90217
50, 2.53819, 2.32179, 2.25792, 1.91902
55, 2.62003, 2.48978, 2.30542, 2.12278
60, 2.46648, 2.48638, 2.37923, 2.01491
65, 2.50773, 2.38917, 2.49003, 2.18073
70, 2.56323, 2.46146, 2.61215, 2.28403
75, 2.56785, 2.49406, 2.61632, 2.1724
80, 2.52455, 2.51059, 2.75189, 2.48152
85, 2.51653, 2.5053, 2.67456, 2.39674
90, 2.56744, 2.49706, 2.69239, 2.66351
95, 2.6341, 2.50123, 2.73598, 2.64445
100, 2.56823, 2.53142, 2.7161, 2.59964
