n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 5.26375, 2.79801, 2.66263, 1.5986
15, 5.60646, 2.9212, 3.4834, 2.1853
20, 5.11798, 2.54178, 3.31671, 1.96861
25, 5.19944, 2.62487, 3.76743, 2.07955
30, 4.8756, 2.3023, 3.5383, 1.89371
35, 5.08502, 2.45052, 3.88195, 1.97037
40, 4.87411, 2.38575, 3.81938, 1.88236
45, 4.92003, 2.35056, 3.96865, 1.90217
50, 5.03897, 2.32179, 4.4881, 1.91902
55, 5.18097, 2.48978, 4.60156, 2.12278
60, 4.88144, 2.48638, 4.71813, 2.01491
65, 4.99314, 2.38917, 4.94907, 2.18073
70, 5.07246, 2.46146, 5.16693, 2.28403
75, 5.10351, 2.49406, 5.20811, 2.1724
80, 5.01571, 2.51059, 5.44859, 2.48152
85, 5.00791, 2.5053, 5.30961, 2.39674
90, 5.09045, 2.49706, 5.34222, 2.66351
95, 5.24726, 2.50123, 5.44838, 2.64445
100, 5.10457, 2.53142, 5.39708, 2.59964
