n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 5.69709, 3.89288, 5.64281, 3.78337
15, 6.04399, 4.33045, 6.04905, 4.49939
20, 6.03994, 4.36853, 6.07103, 4.50423
25, 6.13416, 4.49571, 6.19834, 4.60666
30, 5.99498, 4.2073, 6.0548, 4.42028
35, 5.94834, 4.48533, 6.05092, 4.6347
40, 5.86142, 4.2725, 5.96542, 4.44935
45, 6.0504, 4.36084, 6.14572, 4.54872
50, 6.12718, 4.42738, 6.27118, 4.62202
55, 6.21348, 4.51223, 6.29487, 4.78207
60, 6.15564, 4.4364, 6.26838, 4.60143
65, 6.52081, 4.48004, 6.60287, 4.8276
70, 6.36949, 4.5325, 6.4331, 4.87394
75, 6.39182, 4.52976, 6.45947, 4.75514
80, 6.31969, 4.52948, 6.46902, 4.98792
85, 6.35836, 4.58534, 6.47894, 4.94273
90, 6.40726, 4.64885, 6.48656, 5.18247
95, 6.48736, 4.67722, 6.58725, 5.1695
100, 6.31222, 4.73365, 6.4193, 5.13307
