n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.3264, 1.60573, 1.33195, 1.53897
15, 1.60409, 1.89696, 1.63517, 2.06665
20, 1.47267, 1.75203, 1.56795, 1.88827
25, 1.58826, 1.80264, 1.73711, 1.99041
30, 1.46022, 1.53688, 1.68417, 1.77029
35, 1.58373, 1.68036, 1.81749, 1.84884
40, 1.47638, 1.55426, 1.76152, 1.74761
45, 1.71306, 1.57929, 2.02822, 1.70642
50, 1.75212, 1.47984, 2.00677, 1.66193
55, 1.93683, 1.57652, 2.19727, 1.79591
60, 2.03486, 1.58132, 2.24911, 1.76232
65, 2.12187, 1.58758, 2.18465, 1.88968
70, 2.25034, 1.59087, 2.36001, 1.76464
75, 2.28488, 1.67306, 2.299, 1.8854
80, 2.24475, 1.6756, 2.36312, 1.9377
85, 2.25589, 1.75324, 2.34023, 1.94462
90, 2.2424, 1.75192, 2.36895, 2.04737
95, 2.29433, 1.68705, 2.47547, 1.99395
100, 2.19727, 1.77012, 2.27443, 2.16085
