n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.75672, 5.04728, 0.830987, 2.30548
15, 2.96265, 5.70261, 1.04957, 3.40733
20, 3.38734, 5.01045, 1.10945, 3.05648
25, 3.5597, 5.97797, 1.3471, 3.35465
30, 3.65168, 4.74627, 1.43052, 3.26097
35, 3.99758, 5.35159, 1.98327, 3.45474
40, 3.17034, 5.06801, 2.02355, 3.45845
45, 3.75226, 5.0547, 2.27311, 3.45286
50, 4.18693, 5.03333, 3.09201, 3.47674
55, 4.18687, 5.65798, 3.42891, 4.06788
60, 4.39127, 5.67424, 3.8816, 3.65815
65, 4.7148, 5.76589, 4.16352, 3.92603
70, 4.78199, 6.3698, 4.69973, 4.43883
75, 4.52383, 6.61532, 4.37251, 4.09032
80, 5.18525, 6.91284, 4.98965, 4.68872
85, 4.69324, 6.70782, 4.83105, 4.68079
90, 5.03, 7.37789, 4.97021, 5.0485
95, 4.66107, 7.39067, 4.81828, 4.93962
100, 4.9368, 7.8972, 4.96468, 5.16542
