n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 10.5858, 7.02915, 10.8019, 6.89012
15, 11.1112, 8.10713, 11.2464, 8.08941
20, 11.0875, 8.05201, 11.2517, 8.04232
25, 11.2164, 8.51965, 11.4158, 8.33759
30, 11.0694, 7.93762, 11.2322, 7.85199
35, 10.9237, 8.73131, 11.1322, 8.21765
40, 10.6441, 8.23782, 10.8999, 7.90782
45, 10.9752, 8.54419, 11.2808, 8.06658
50, 11.1616, 8.244, 11.3311, 7.8986
55, 11.3016, 8.65559, 11.571, 8.07575
60, 11.2107, 8.57046, 11.316, 7.97289
65, 11.5121, 8.80065, 11.5442, 8.30586
70, 11.3146, 8.75803, 11.3567, 8.10081
75, 11.4693, 8.92581, 11.3668, 8.13524
80, 11.2847, 9.02345, 11.3807, 8.0829
85, 11.63, 9.04242, 11.621, 8.26092
90, 11.4367, 9.18052, 11.5105, 8.32162
95, 11.4514, 9.19625, 11.5099, 8.32489
100, 11.3189, 9.295, 11.2376, 8.61888
