n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 4.4436, 7.35913, 0.787523, 2.1643
15, 4.63001, 7.70257, 1.05701, 3.11892
20, 4.24809, 6.98587, 1.05986, 3.13593
25, 4.45139, 7.98001, 1.26406, 3.1469
30, 4.2344, 6.35779, 1.35407, 2.92104
35, 4.8308, 6.6036, 1.78579, 3.06848
40, 4.12364, 6.92929, 1.83443, 2.89187
45, 4.17906, 6.94511, 1.94479, 2.93124
50, 4.27206, 5.78714, 2.54702, 2.68016
55, 4.67756, 6.49903, 2.98323, 2.94146
60, 4.70066, 6.04457, 3.56981, 2.72578
65, 4.385, 6.12893, 3.46307, 2.9288
70, 4.28452, 6.3248, 4.06126, 2.92218
75, 4.71807, 6.55931, 4.08713, 3.41119
80, 4.37895, 6.4473, 4.03848, 2.97667
85, 4.8365, 6.41604, 4.45902, 3.25719
90, 4.00859, 6.43953, 4.02769, 3.24069
95, 4.14369, 6.09606, 4.24804, 3.29068
100, 4.44041, 6.40251, 3.93497, 3.67754
