n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 4.4436, 7.35913, 0.701624, 2.01975
15, 4.63001, 7.70257, 0.876497, 2.98065
20, 4.24809, 6.98587, 0.857076, 2.88488
25, 4.45139, 7.98001, 0.910898, 2.91782
30, 4.2344, 6.35779, 0.842278, 2.6934
35, 4.8308, 6.6036, 0.99168, 2.82314
40, 4.12364, 6.92929, 0.865479, 2.61918
45, 4.17906, 6.94511, 0.860511, 2.65308
50, 4.27206, 5.78714, 0.874113, 2.36637
55, 4.67756, 6.49903, 0.988953, 2.58682
60, 4.70066, 6.04457, 0.929497, 2.37106
65, 4.385, 6.12893, 0.847786, 2.48485
70, 4.28452, 6.3248, 0.851745, 2.48377
75, 4.71807, 6.55931, 0.928882, 2.76802
80, 4.37895, 6.4473, 0.872101, 2.39511
85, 4.8365, 6.41604, 0.897918, 2.55602
90, 4.00859, 6.43953, 0.846234, 2.52121
95, 4.14369, 6.09606, 0.887348, 2.48643
100, 4.44041, 6.40251, 0.822157, 2.59426

