n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.691232, 1.70133, 0.18052, 0.344886
15, 0.683506, 1.50905, 0.232176, 0.393094
20, 0.648572, 1.42774, 0.243055, 0.406884
25, 0.751771, 1.41027, 0.351801, 0.497155
30, 0.738168, 1.41252, 0.339298, 0.50303
35, 0.748971, 1.37459, 0.372594, 0.542684
40, 0.774088, 1.36851, 0.397607, 0.578701
45, 0.811994, 1.37611, 0.499858, 0.610473
50, 0.761543, 1.36153, 0.5051, 0.573179
55, 0.800118, 1.38574, 0.664624, 0.665455
60, 0.804182, 1.36579, 0.708263, 0.702761
65, 0.799702, 1.32122, 0.729168, 0.756633
70, 0.811282, 1.35936, 0.841424, 0.767362
75, 0.813459, 1.35705, 0.847011, 0.799132
80, 0.845017, 1.35238, 0.878912, 0.86659
85, 0.808184, 1.32223, 0.836503, 0.877518
90, 0.88691, 1.33314, 0.908417, 0.94045
95, 0.841666, 1.33273, 0.876636, 0.960135
100, 0.893311, 1.33376, 0.916642, 1.07369
