n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 3.51837, 4.2984, 3.04388, 3.10463
15, 3.07711, 4.25244, 2.65517, 3.26481
20, 2.98726, 4.27809, 2.62052, 3.37439
25, 2.81838, 4.30085, 2.43915, 3.47591
30, 2.80433, 4.33665, 2.43823, 3.52478
35, 2.62067, 4.2969, 2.2958, 3.56442
40, 2.58997, 4.34336, 2.26384, 3.62558
45, 2.58706, 4.34468, 2.31358, 3.65427
50, 2.43774, 4.31477, 2.21586, 3.60968
55, 2.47033, 4.37163, 2.36222, 3.71888
60, 2.38838, 4.34304, 2.3048, 3.74121
65, 2.38864, 4.329, 2.33797, 3.80553
70, 2.27461, 4.3651, 2.3051, 3.80402
75, 2.27488, 4.34753, 2.30225, 3.8382
80, 2.29807, 4.38563, 2.32444, 3.89868
85, 2.24194, 4.31543, 2.26872, 3.90463
90, 2.34298, 4.33709, 2.36021, 3.96286
95, 2.22457, 4.36004, 2.25271, 3.99857
100, 2.29511, 4.34969, 2.31773, 4.10665
