n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.26126, 2.19401, 1.13577, 0.891334
15, 2.30373, 2.11577, 1.44118, 1.26277
20, 2.34855, 2.07036, 1.58695, 1.50171
25, 2.52003, 2.15956, 1.82964, 1.75392
30, 2.42294, 2.14178, 1.89691, 1.78774
35, 2.31651, 2.08053, 1.90647, 1.80377
40, 2.39092, 2.10448, 2.0135, 1.99412
45, 2.53683, 2.19827, 2.32272, 2.16041
50, 2.3762, 2.10492, 2.18352, 2.06809
55, 2.47173, 2.13638, 2.46083, 2.30559
60, 2.4237, 2.09918, 2.50318, 2.17921
65, 2.53264, 2.13131, 2.66856, 2.38767
70, 2.47845, 2.17662, 2.76792, 2.45354
75, 2.50955, 2.15196, 2.82531, 2.44821
80, 2.4821, 2.17269, 2.73571, 2.34745
85, 2.50515, 2.17521, 2.78039, 2.52248
90, 2.54522, 2.17854, 2.9035, 2.63273
95, 2.50687, 2.17113, 2.79871, 2.5243
100, 2.53759, 2.1722, 2.8773, 2.59213
