n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.202606, 0.753273, 0.18052, 0.344886
15, 0.234993, 0.716218, 0.232176, 0.393094
20, 0.228182, 0.68794, 0.243055, 0.406884
25, 0.317601, 0.693469, 0.351801, 0.497155
30, 0.297686, 0.710979, 0.339298, 0.50303
35, 0.318655, 0.700192, 0.372594, 0.542684
40, 0.336602, 0.713492, 0.397607, 0.578701
45, 0.410061, 0.717278, 0.499858, 0.610473
50, 0.401336, 0.733301, 0.5051, 0.573179
55, 0.514129, 0.779753, 0.664624, 0.665455
60, 0.618111, 0.798333, 0.708263, 0.702761
65, 0.71389, 0.783432, 0.729168, 0.756633
70, 0.773881, 0.838996, 0.841424, 0.767362
75, 0.780547, 0.864102, 0.847011, 0.799132
80, 0.815562, 0.909938, 0.878912, 0.86659
85, 0.781865, 0.90597, 0.836503, 0.877518
90, 0.863064, 0.966221, 0.908417, 0.94045
95, 0.81981, 0.995383, 0.876636, 0.960135
100, 0.873715, 1.0253, 0.916642, 1.07369
