n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 3.04269, 3.3782, 3.04388, 3.10463
15, 2.64505, 3.49778, 2.65517, 3.26481
20, 2.59633, 3.56965, 2.62052, 3.37439
25, 2.3993, 3.61727, 2.43915, 3.47591
30, 2.39966, 3.67136, 2.43823, 3.52478
35, 2.24261, 3.66503, 2.2958, 3.56442
40, 2.21443, 3.71656, 2.26384, 3.62558
45, 2.23176, 3.72055, 2.31358, 3.65427
50, 2.1269, 3.72622, 2.21586, 3.60968
55, 2.2072, 3.79367, 2.36222, 3.71888
60, 2.20801, 3.80553, 2.3048, 3.74121
65, 2.30189, 3.82017, 2.33797, 3.80553
70, 2.23395, 3.86574, 2.3051, 3.80402
75, 2.23871, 3.87604, 2.30225, 3.8382
80, 2.26553, 3.94572, 2.32444, 3.89868
85, 2.21303, 3.91588, 2.26872, 3.90463
90, 2.31625, 3.97655, 2.36021, 3.96286
95, 2.20021, 4.02352, 2.25271, 3.99857
100, 2.27284, 4.04499, 2.31773, 4.10665
