n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.1035, 1.08822, 1.13577, 0.891334
15, 1.33936, 1.26145, 1.44118, 1.26277
20, 1.45879, 1.28301, 1.58695, 1.50171
25, 1.63407, 1.44412, 1.82964, 1.75392
30, 1.60931, 1.46609, 1.89691, 1.78774
35, 1.6121, 1.46282, 1.90647, 1.80377
40, 1.72435, 1.51364, 2.0135, 1.99412
45, 1.92855, 1.66807, 2.32272, 2.16041
50, 1.85525, 1.58343, 2.18352, 2.06809
55, 2.06561, 1.66547, 2.46083, 2.30559
60, 2.14306, 1.63114, 2.50318, 2.17921
65, 2.39085, 1.7145, 2.66856, 2.38767
70, 2.42173, 1.81341, 2.76792, 2.45354
75, 2.45979, 1.80168, 2.82531, 2.44821
80, 2.43789, 1.8585, 2.73571, 2.34745
85, 2.4653, 1.90079, 2.78039, 2.52248
90, 2.50892, 1.93458, 2.9035, 2.63273
95, 2.47393, 1.94319, 2.79871, 2.5243
100, 2.5076, 1.9651, 2.8773, 2.59213
