n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.76259, 2.2513, 0.422424, 0.47944
15, 0.91977, 2.28111, 0.562555, 0.658535
20, 0.926838, 2.18751, 0.607778, 0.711702
25, 1.30615, 2.4367, 0.880571, 0.927379
30, 1.28526, 2.36674, 0.810462, 1.05263
35, 1.44177, 2.45, 0.95486, 1.12525
40, 1.51423, 2.4886, 1.04205, 1.24736
45, 1.77846, 2.38169, 1.41471, 1.32132
50, 1.62561, 2.46538, 1.49441, 1.27752
55, 2.06136, 2.76664, 2.02581, 1.54606
60, 2.149, 2.72389, 2.16204, 1.5633
65, 2.27217, 2.73299, 2.1247, 1.74346
70, 2.38298, 3.05746, 2.39388, 1.71102
75, 2.31912, 2.92112, 2.45153, 1.85538
80, 2.4423, 3.04702, 2.42867, 2.04083
85, 2.23003, 2.7662, 2.28904, 2.01715
90, 2.51038, 3.04214, 2.53668, 2.24172
95, 2.49857, 2.8785, 2.45569, 2.22484
100, 2.4709, 2.97843, 2.48037, 2.8587
