n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 5.06273, 5.45022, 5.13693, 5.281
15, 4.2702, 5.71079, 4.33141, 5.46453
20, 4.07137, 5.82171, 4.0896, 5.55755
25, 3.99101, 5.93418, 3.84111, 5.65044
30, 3.98329, 6.14155, 3.88986, 5.76681
35, 3.89126, 6.12326, 3.72528, 5.75038
40, 3.8116, 6.17711, 3.56793, 5.82064
45, 4.04278, 6.13371, 3.78621, 5.85328
50, 3.68712, 6.2367, 3.55706, 5.73431
55, 3.92149, 6.36208, 3.85743, 5.9129
60, 3.94727, 6.29752, 3.88797, 5.90524
65, 4.17192, 6.27673, 3.97493, 5.96694
70, 4.10141, 6.34851, 3.95054, 5.91146
75, 4.06707, 6.31808, 4.02451, 5.94782
80, 4.19142, 6.43064, 3.94594, 5.97507
85, 3.85326, 6.26732, 3.74259, 5.9644
90, 4.32, 6.45116, 4.12967, 6.04485
95, 4.15283, 6.33537, 3.92422, 6.02036
100, 4.19859, 6.38287, 4.06146, 6.14191
