n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 3.38779, 3.216, 3.31516, 1.89786
15, 4.23579, 4.39608, 3.92486, 3.14452
20, 5.13292, 4.98042, 4.60905, 3.94639
25, 5.92551, 6.4938, 5.2218, 5.08
30, 6.09907, 6.64105, 5.49975, 5.58792
35, 6.43329, 7.18731, 5.49085, 5.8013
40, 6.75513, 7.92071, 5.94599, 6.39451
45, 7.48104, 8.23893, 6.67068, 7.08879
50, 7.46555, 8.00875, 6.30758, 7.18939
55, 8.15281, 8.854, 7.04827, 7.79048
60, 8.33805, 8.56316, 7.15499, 7.64354
65, 8.78504, 9.29063, 7.60809, 8.42581
70, 9.03441, 9.0049, 7.70364, 8.39589
75, 8.96696, 9.20527, 7.73942, 8.48633
80, 9.06817, 9.21823, 7.76371, 8.55218
85, 9.10848, 9.40719, 8.02716, 8.98654
90, 9.53807, 9.58299, 8.46945, 9.40007
95, 8.96411, 9.67034, 8.05667, 9.33353
100, 9.44222, 9.66444, 8.19625, 9.38288
