n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.97921, 4.49746, 0.422424, 0.47944
15, 1.94149, 4.21004, 0.562555, 0.658535
20, 1.92038, 4.02656, 0.607778, 0.711702
25, 2.23505, 4.13987, 0.880571, 0.927379
30, 2.20574, 3.90923, 0.810462, 1.05263
35, 2.26789, 4.09932, 0.95486, 1.12525
40, 2.34596, 3.87939, 1.04205, 1.24736
45, 2.49895, 3.90064, 1.41471, 1.32132
50, 2.27548, 3.70028, 1.49441, 1.27752
55, 2.57186, 3.91526, 2.02581, 1.54606
60, 2.48943, 3.75922, 2.16204, 1.5633
65, 2.42243, 3.70936, 2.1247, 1.74346
70, 2.47892, 3.9957, 2.39388, 1.71102
75, 2.39111, 3.85612, 2.45153, 1.85538
80, 2.52071, 3.91719, 2.42867, 2.04083
85, 2.30727, 3.57025, 2.28904, 2.01715
90, 2.57635, 3.70543, 2.53668, 2.24172
95, 2.55564, 3.4731, 2.45569, 2.22484
100, 2.52312, 3.53998, 2.48037, 2.8587
