n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 7.06137, 7.72572, 5.82067, 5.76924
15, 6.99621, 7.94149, 5.40109, 6.42414
20, 7.36422, 7.93692, 5.82813, 6.81051
25, 7.76686, 8.45678, 6.04327, 7.37341
30, 7.92859, 8.42074, 6.30661, 7.64956
35, 7.85863, 8.50701, 6.17744, 7.66083
40, 8.06928, 8.81104, 6.55691, 7.99541
45, 8.46719, 8.97828, 7.16035, 8.30222
50, 8.377, 8.86319, 6.7326, 8.26272
55, 8.63853, 9.08054, 7.40939, 8.5584
60, 8.59552, 9.0781, 7.4864, 8.48851
65, 8.78663, 9.21223, 7.90983, 8.82534
70, 8.7792, 9.30823, 7.94262, 8.80618
75, 8.84425, 9.30184, 7.97096, 8.83485
80, 8.85323, 9.30057, 8.01803, 8.83632
85, 9.04683, 9.35596, 8.25952, 9.02195
90, 9.31388, 9.46799, 8.68902, 9.19737
95, 8.78204, 9.38115, 8.28956, 9.17459
100, 9.27615, 9.51693, 8.40812, 9.17627
