n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 4.06641, 5.11583, 1.37947, 0.697271
15, 4.20055, 4.96755, 1.50112, 0.927396
20, 4.17848, 4.76168, 1.57528, 1.01466
25, 4.79945, 4.75769, 2.04312, 1.3335
30, 4.52407, 4.6262, 1.91229, 1.43472
35, 4.74692, 4.64736, 2.12507, 1.56549
40, 4.6976, 4.56974, 2.07385, 1.70208
45, 4.92907, 4.50455, 2.58679, 1.82301
50, 4.39498, 4.43069, 2.47958, 1.73604
55, 4.66199, 4.64985, 3.07302, 2.14785
60, 4.50146, 4.27632, 3.26811, 2.13089
65, 4.62751, 4.39821, 3.33092, 2.34457
70, 4.55634, 4.68732, 3.37372, 2.37526
75, 4.35107, 4.56823, 3.47016, 2.51669
80, 4.60001, 4.53408, 3.36523, 2.76207
85, 4.29769, 4.24027, 3.14058, 2.73202
90, 4.66949, 4.42113, 3.61631, 2.98848
95, 4.62565, 4.18634, 3.40334, 3.03028
100, 4.52529, 4.24958, 3.55061, 3.53387
