n, conflicts rect., conflicts circ., angle rect., value circ.
10, 2, 2, 31.6296, 2.30548
15, 5, 4, 37.3517, 3.41805
20, 6, 6, 38.1415, 3.05648
25, 9, 9, 42.5581, 3.36693
30, 11, 10, 43.1241, 3.29748
35, 13, 13, 49.1129, 3.47896
40, 14, 14, 49.9088, 3.5248
45, 17, 17, 54.2933, 3.52914
50, 18, 18, 62.0279, 3.52513
55, 21, 21, 65.1884, 4.12266
60, 23, 22, 68.1771, 3.72359
65, 25, 25, 70.4621, 3.9533
70, 27, 27, 74.4885, 4.4753
75, 29, 29, 73.7472, 4.09135
80, 30, 30, 75.373, 4.72257
85, 33, 32, 74.4443, 4.68326
90, 35, 34, 75.152, 5.06623
95, 37, 36, 73.8094, 4.94817
100, 38, 38, 74.841, 5.19691
