n, conflicts rect., conflicts circ., angle rect., value circ.
10, 1, 1, 20.5542, 0.47944
15, 2, 3, 26.5401, 0.669778
20, 3, 5, 27.8742, 0.711702
25, 4, 6, 37.469, 0.934945
30, 5, 8, 34.9793, 1.05551
35, 6, 10, 39.7541, 1.12573
40, 8, 12, 42.9254, 1.24736
45, 9, 13, 54.6574, 1.32132
50, 9, 14, 65.585, 1.27752
55, 11, 17, 73.4342, 1.57545
60, 12, 19, 78.6294, 1.57327
65, 13, 21, 80.8168, 1.74346
70, 14, 23, 82.0139, 1.71102
75, 16, 24, 81.9602, 1.87777
80, 16, 25, 82.0645, 2.04083
85, 18, 27, 82.085, 2.01715
90, 19, 28, 82.1501, 2.24544
95, 20, 31, 82.4164, 2.22484
100, 21, 32, 82.2355, 3.25213
