n, conflicts rect., conflicts circ., angle rect., value circ.
10, 3, 2, 29.7881, 2.5088
15, 5, 5, 37.0666, 3.45669
20, 7, 7, 44.6863, 4.55665
25, 10, 10, 50.0384, 5.0836
30, 12, 12, 53.9691, 5.80551
35, 14, 14, 59.0264, 6.03299
40, 16, 16, 61.9434, 6.60221
45, 18, 18, 67.064, 6.91929
50, 21, 20, 70.7348, 7.41972
55, 23, 23, 72.6473, 7.42918
60, 25, 25, 74.9306, 7.82662
65, 27, 28, 78.824, 8.07504
70, 30, 29, 79.5891, 8.43717
75, 32, 32, 79.9216, 8.44638
80, 35, 34, 79.6373, 8.84329
85, 37, 36, 79.6988, 8.97418
90, 38, 38, 80.7798, 8.90966
95, 42, 41, 80.3768, 9.68158
100, 43, 43, 80.773, 9.71823
