n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.685837, 2.38237, 0.275237, 1.29409
15, 0.64725, 2.34774, 0.333572, 1.70522
20, 0.68193, 2.37272, 0.412081, 2.07221
25, 0.689487, 2.50667, 0.466215, 2.32552
30, 0.688306, 2.38384, 0.479147, 2.42008
35, 0.702006, 2.4629, 0.525464, 2.55947
40, 0.690649, 2.40176, 0.557749, 2.64682
45, 0.718403, 2.42606, 0.648739, 2.64675
50, 0.732598, 2.50404, 0.671948, 2.84689
55, 0.724889, 2.44079, 0.681765, 2.8504
60, 0.729734, 2.50361, 0.720578, 2.90064
65, 0.735447, 2.50196, 0.761549, 2.85237
70, 0.736256, 2.47899, 0.810126, 2.95532
75, 0.725785, 2.50816, 0.838364, 2.99126
80, 0.749473, 2.53496, 0.816185, 3.01386
85, 0.73451, 2.50483, 0.819413, 3.04325
90, 0.757511, 2.52284, 0.84587, 3.0001
95, 0.730117, 2.54605, 0.801945, 3.13004
100, 0.768417, 2.49842, 0.843391, 3.11714
