n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.65867, 4.30377, 6.16894, 3.1775
15, 6.82316, 4.42118, 6.41427, 3.67864
20, 6.71044, 4.34891, 6.35061, 3.88319
25, 6.85982, 4.54777, 6.51866, 4.21567
30, 6.68196, 4.44801, 6.3969, 4.17376
35, 6.70671, 4.63306, 6.47188, 4.48563
40, 6.64809, 4.63711, 6.44127, 4.61018
45, 6.70594, 4.57878, 6.60182, 4.6554
50, 6.63798, 4.58184, 6.58502, 4.69224
55, 6.64924, 4.79338, 6.61124, 4.96812
60, 6.62922, 4.65143, 6.58568, 4.7115
65, 6.66629, 4.89718, 6.69094, 5.22801
70, 6.66386, 4.77007, 6.72504, 5.12836
75, 6.68308, 4.85692, 6.77006, 5.19387
80, 6.72474, 4.74161, 6.77883, 5.07973
85, 6.6446, 4.7797, 6.75232, 5.31722
90, 6.65846, 4.872, 6.76679, 5.35103
95, 6.7043, 4.78829, 6.79954, 5.34832
100, 6.6465, 4.852, 6.7421, 5.42756
