n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.59292, 2.82869, 1.34896, 1.63938
15, 2.5862, 2.99145, 1.66395, 2.29936
20, 2.72941, 3.07722, 1.97971, 2.86225
25, 2.85579, 3.30875, 2.23843, 3.2616
30, 2.93016, 3.27965, 2.26981, 3.49015
35, 2.89552, 3.44811, 2.44303, 3.74413
40, 2.88821, 3.35851, 2.58504, 3.87544
45, 2.97611, 3.4529, 2.91884, 3.93251
50, 3.03131, 3.57866, 2.91774, 4.2651
55, 3.0253, 3.55548, 2.95378, 4.3444
60, 3.04428, 3.6346, 3.14004, 4.39527
65, 3.07906, 3.69409, 3.28224, 4.36548
70, 3.0853, 3.68963, 3.43501, 4.57989
75, 3.065, 3.71388, 3.53668, 4.63985
80, 3.15624, 3.76373, 3.51477, 4.65974
85, 3.13116, 3.75665, 3.51858, 4.73646
90, 3.20815, 3.83859, 3.57489, 4.71953
95, 3.11681, 3.87669, 3.46857, 4.95674
100, 3.18139, 3.79236, 3.5958, 4.87793
