n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 0.349711, 1.48911, 0.275237, 1.29409
15, 0.372732, 1.72448, 0.333572, 1.70522
20, 0.443366, 1.86379, 0.412081, 2.07221
25, 0.464491, 2.07249, 0.466215, 2.32552
30, 0.483787, 1.99829, 0.479147, 2.42008
35, 0.503167, 2.10052, 0.525464, 2.55947
40, 0.515503, 2.10942, 0.557749, 2.64682
45, 0.566872, 2.15613, 0.648739, 2.64675
50, 0.599152, 2.24374, 0.671948, 2.84689
55, 0.617117, 2.20469, 0.681765, 2.8504
60, 0.655481, 2.27496, 0.720578, 2.90064
65, 0.697628, 2.2988, 0.761549, 2.85237
70, 0.7233, 2.29156, 0.810126, 2.95532
75, 0.714715, 2.33267, 0.838364, 2.99126
80, 0.739442, 2.37247, 0.816185, 3.01386
85, 0.725945, 2.35771, 0.819413, 3.04325
90, 0.749367, 2.37922, 0.84587, 3.0001
95, 0.72291, 2.41969, 0.801945, 3.13004
100, 0.761589, 2.3928, 0.843391, 3.11714
