n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 6.29487, 3.74202, 6.28167, 3.63274
15, 6.56416, 4.40623, 6.597, 4.51764
20, 6.53679, 4.62176, 6.59902, 5.02181
25, 6.70456, 4.99879, 6.79686, 5.46159
30, 6.63569, 5.10335, 6.701, 5.73313
35, 6.65115, 5.3699, 6.77664, 6.05131
40, 6.65862, 5.3667, 6.83044, 6.14328
45, 6.79776, 5.50021, 7.04781, 6.22748
50, 6.76029, 5.64798, 6.95989, 6.50017
55, 6.86041, 5.7182, 7.03294, 6.64672
60, 6.9529, 5.78259, 7.13948, 6.65952
65, 7.06112, 5.93937, 7.2277, 6.728
70, 7.11748, 5.94486, 7.31971, 6.89366
75, 7.10411, 6.01023, 7.38915, 6.97522
80, 7.21589, 6.08961, 7.41616, 7.00087
85, 7.14629, 6.07228, 7.37333, 7.03232
90, 7.18473, 6.20866, 7.40626, 7.09652
95, 7.20497, 6.26696, 7.39888, 7.28852
100, 7.17202, 6.17748, 7.39986, 7.17562
