n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.30407, 1.69056, 1.34896, 1.63938
15, 1.53411, 2.14581, 1.66395, 2.29936
20, 1.72253, 2.38324, 1.97971, 2.86225
25, 1.92077, 2.71167, 2.23843, 3.2616
30, 2.06808, 2.74515, 2.26981, 3.49015
35, 2.09573, 2.92544, 2.44303, 3.74413
40, 2.18293, 2.9453, 2.58504, 3.87544
45, 2.34711, 3.0597, 2.91884, 3.93251
50, 2.49324, 3.21851, 2.91774, 4.2651
55, 2.59322, 3.20791, 2.95378, 4.3444
60, 2.73981, 3.31912, 3.14004, 4.39527
65, 2.92329, 3.41195, 3.28224, 4.36548
70, 3.02878, 3.42873, 3.43501, 4.57989
75, 3.01544, 3.47211, 3.53668, 4.63985
80, 3.11142, 3.5411, 3.51477, 4.65974
85, 3.09148, 3.54882, 3.51858, 4.73646
90, 3.17161, 3.63155, 3.57489, 4.71953
95, 3.08362, 3.68932, 3.46857, 4.95674
100, 3.15113, 3.63903, 3.5958, 4.87793
