n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 1.53993, 5.1299, 0.619328, 2.5088
15, 1.89891, 7.13998, 0.820707, 3.45194
20, 2.4632, 7.83611, 1.08546, 4.54141
25, 2.58548, 9.2403, 1.31567, 5.0836
30, 2.73923, 9.47055, 1.49817, 5.78955
35, 3.11745, 10.0436, 1.80115, 6.02785
40, 3.17794, 10.3665, 2.00966, 6.57943
45, 3.6641, 11.1455, 2.6353, 6.91365
50, 3.93712, 12.1889, 2.95656, 7.40147
55, 4.02062, 12.0928, 3.17228, 7.41844
60, 4.46372, 12.478, 3.54098, 7.79737
65, 4.5747, 12.8291, 3.92742, 8.03845
70, 4.91722, 12.949, 4.25469, 8.37228
75, 5.01781, 14.4269, 4.62829, 8.42075
80, 5.32239, 13.4933, 4.46932, 8.81699
85, 5.02488, 13.0307, 4.45145, 8.97418
90, 5.057, 13.1576, 4.72467, 8.88575
95, 5.06592, 14.4363, 4.54389, 9.65783
100, 5.73881, 14.0435, 4.85547, 9.70595
