n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 11.0666, 6.81237, 11.3178, 6.87857
15, 11.4543, 8.55508, 11.6886, 8.14314
20, 11.5138, 9.13629, 11.7644, 9.08673
25, 11.7685, 10.0346, 12.1076, 9.75739
30, 11.7391, 10.5521, 11.9405, 10.2824
35, 11.9492, 11.0514, 12.3534, 10.5998
40, 12.0594, 11.0311, 12.3511, 10.7982
45, 12.3159, 11.3931, 12.8043, 11.0209
50, 12.4326, 11.8241, 12.8517, 11.4311
55, 12.5925, 11.9133, 13.0644, 11.5057
60, 12.8242, 12.0843, 13.115, 11.5951
65, 13.0016, 12.2452, 13.113, 11.807
70, 13.2848, 12.4183, 13.4408, 11.9216
75, 13.1723, 12.6269, 13.5427, 11.9434
80, 13.2691, 12.4795, 13.35, 12.1008
85, 13.5976, 12.5374, 13.6977, 12.1362
90, 13.4106, 12.7443, 13.6455, 12.2264
95, 13.6537, 12.9007, 13.8747, 12.4341
100, 13.7347, 12.7656, 13.7251, 12.3801
