n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 3.70336, 4.90834, 4.01913, 3.88852
15, 4.95907, 7.04207, 5.08005, 5.49863
20, 5.75812, 7.89695, 5.83349, 7.22438
25, 6.47584, 9.45286, 6.42545, 8.32127
30, 7.13188, 10.2306, 6.74316, 9.3162
35, 7.34252, 10.7073, 7.22072, 9.91619
40, 7.47154, 10.8, 7.62578, 10.484
45, 8.23881, 11.8164, 8.29867, 10.9552
50, 8.53218, 12.4315, 8.60986, 11.8862
55, 8.91784, 12.4473, 8.66014, 11.9762
60, 9.51309, 12.8835, 9.16754, 12.3943
65, 9.6171, 13.2596, 9.23155, 12.6069
70, 10.201, 13.5701, 9.67886, 13.0852
75, 10.052, 13.874, 9.76915, 13.1865
80, 10.2813, 13.8384, 9.79274, 13.4872
85, 10.1667, 13.9945, 9.86347, 13.6795
90, 10.398, 14.4244, 10.0895, 13.7725
95, 10.2837, 14.7229, 10.0347, 14.316
100, 10.4868, 14.7252, 10.0805, 14.3514
