n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 2.50669, 8.48317, 0.619328, 2.5088
15, 2.81748, 9.7992, 0.820707, 3.45194
20, 3.4471, 10.6518, 1.08546, 4.54141
25, 3.50878, 11.6788, 1.31567, 5.0836
30, 3.61668, 11.7409, 1.49817, 5.78955
35, 3.87075, 12.1998, 1.80115, 6.02785
40, 3.95123, 12.3059, 2.00966, 6.57943
45, 4.33785, 12.819, 2.6353, 6.91365
50, 4.50777, 13.9481, 2.95656, 7.40147
55, 4.50446, 13.469, 3.17228, 7.41844
60, 4.79802, 13.9435, 3.54098, 7.79737
65, 4.74993, 14.2552, 3.92742, 8.03845
70, 4.97533, 13.9896, 4.25469, 8.37228
75, 5.06975, 15.3105, 4.62829, 8.42075
80, 5.37754, 14.5052, 4.46932, 8.81699
85, 5.06625, 13.927, 4.45145, 8.97418
90, 5.0906, 14.0872, 4.72467, 8.88575
95, 5.09607, 15.2448, 4.54389, 9.65783
100, 5.77494, 14.6429, 4.85547, 9.70595
