n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 11.8352, 9.58533, 11.3178, 6.87857
15, 12.2419, 10.659, 11.6886, 8.14314
20, 12.5108, 11.1238, 11.7644, 9.08673
25, 12.6103, 11.4502, 12.1076, 9.75739
30, 12.691, 11.7596, 11.9405, 10.2824
35, 12.7525, 12.1242, 12.3534, 10.5998
40, 12.866, 11.9051, 12.3511, 10.7982
45, 13.0509, 12.1024, 12.8043, 11.0209
50, 13.0328, 12.4616, 12.8517, 11.4311
55, 13.097, 12.5065, 13.0644, 11.5057
60, 13.1565, 12.567, 13.115, 11.5951
65, 13.1758, 12.6859, 13.113, 11.807
70, 13.3536, 12.7796, 13.4408, 11.9216
75, 13.2356, 12.8597, 13.5427, 11.9434
80, 13.3284, 12.7796, 13.35, 12.1008
85, 13.6516, 12.7892, 13.6977, 12.1362
90, 13.4606, 12.9692, 13.6455, 12.2264
95, 13.7029, 13.1072, 13.8747, 12.4341
100, 13.78, 12.9681, 13.7251, 12.3801
