n, Fixed rect., Fixed circ., Sliding rect., Sliding circ.
10, 5.80114, 7.13784, 3.15467, 2.34698
15, 6.29045, 7.51497, 3.81794, 3.14703
20, 6.52297, 8.0602, 4.25461, 3.7783
25, 7.16122, 8.569, 5.02979, 4.85589
30, 7.00763, 8.25044, 5.09667, 4.68286
35, 7.22772, 8.79353, 5.65185, 5.51156
40, 7.23436, 9.00224, 5.6913, 6.00896
45, 7.56597, 9.17102, 6.27298, 6.09807
50, 7.81437, 9.28606, 6.71625, 6.33175
55, 7.43963, 9.74813, 6.34283, 6.99302
60, 7.31179, 9.22936, 6.34379, 6.37955
65, 7.80499, 10.3196, 6.77702, 7.84876
70, 7.73158, 10.1494, 6.82804, 7.69044
75, 7.573, 9.93624, 6.59089, 7.8185
80, 7.56359, 9.54444, 6.78406, 7.43551
85, 7.60399, 10.0361, 6.57913, 8.52008
90, 7.78255, 10.0487, 6.89998, 8.27551
95, 7.75602, 9.65977, 6.80062, 8.58881
100, 8.08854, 10.604, 7.19873, 8.81305
